customer_key,customer_name,customer_type,housing_type,vertical,address,city,state,zip,region_key
34,Franjo Etzold-Hentschel,Privatkunde,Wohnung,Energy,RosenPlatz 81,Düsseldorf,West,40869,402
35,Nathalie Sauer,Privatkunde,Wohnung,Energy,SchillerStraße 138,Berlin,East,10318,403
36,Prof. Heiderose Klotz,Privatkunde,Einfamilienhaus,Energy,EichenAllee 73,Köln,West,50261,402
37,Dr. Jaroslaw Nohlmans B.Sc.,Privatkunde,Mehrfamilienhaus,Energy,HeideGasse 136,Nürnberg,South,90108,401
38,Steffen Dörschner,Gewerbekunde,Gewerbeimmobilie,Energy,MozartAllee 30,Essen,West,45209,402
39,Lukas Freudenberger-Zorbach,Privatkunde,Einfamilienhaus,Energy,TannenWeg 68,Köln,West,50617,402
40,Löchel,Kleingewerbe,Einfamilienhaus,Energy,BirkenStraße 1,Ingolstadt,South,85441,401
41,Hans-Josef Kranz,Privatkunde,Wohnung,Energy,BergGasse 110,Duisburg,West,47674,402
42,Mosemann,Kleingewerbe,Gewerbeimmobilie,Energy,BrunnenAllee 150,Hamburg,North,20665,400
43,Yasmin Röhrdanz,Privatkunde,Wohnung,Energy,HeideStraße 92,Hamburg,North,20315,400
44,Milos Ullmann,Privatkunde,Wohnung,Energy,RathausRing 40,Duisburg,West,47342,402
45,Mirco Reising,Kleingewerbe,Gewerbeimmobilie,Energy,BlumenAllee 106,Jena,East,07921,403
46,Paola Segebahn,Privatkunde,Einfamilienhaus,Energy,SternStraße 98,Bonn,West,53993,402
47,Beate Hornig,Privatkunde,Mehrfamilienhaus,Energy,KirchAllee 59,Bremen,North,28328,400
48,Dr. Insa Adler,Privatkunde,Wohnung,Energy,WiesenAllee 90,Hamburg,North,20756,400
49,Yvette Otto,Kleingewerbe,Reihenhaus,Energy,BirkenWeg 149,Bonn,West,53371,402
50,Prof. Urban Döring,Privatkunde,Wohnung,Energy,RathausRing 131,Kiel,North,24218,400
51,Sibilla Schwital,Privatkunde,Wohnung,Energy,HauptRing 138,Nürnberg,South,90803,401
52,Cornelius Köster B.A.,Privatkunde,Reihenhaus,Energy,GoetheGasse 85,Bonn,West,53738,402
53,Krzysztof Junitz,Privatkunde,Einfamilienhaus,Energy,RosenGasse 105,Regensburg,South,93434,401
54,Frau Beate Klotz B.Eng.,Privatkunde,Reihenhaus,Energy,MarktGasse 45,München,South,80730,401
55,Herr Ernst-Otto Rosenow B.Sc.,Kleingewerbe,Reihenhaus,Energy,HeideRing 83,Dortmund,West,44576,402
56,Pascal Neureuther,Privatkunde,Wohnung,Energy,HeideGasse 44,Augsburg,South,86774,401
57,Raimund Reichmann,Privatkunde,Einfamilienhaus,Energy,BrunnenWeg 80,Bremen,North,28330,400
58,Carlo Sorgatz-Mülichen,Privatkunde,Mehrfamilienhaus,Energy,SeeStraße 117,Berlin,East,10524,403
59,Ing. Jose auch Schlauchin,Privatkunde,Reihenhaus,Energy,MarktWeg 38,Berlin,East,10771,403
60,Hahn Reuter e.G.,Kleingewerbe,Gewerbeimmobilie,Energy,EichenWeg 133,Münster,West,48575,402
61,Stumpf,Kleingewerbe,Reihenhaus,Energy,MondRing 144,Hamburg,North,20709,400
62,Olaf Jockel MBA.,Privatkunde,Wohnung,Energy,WaldPlatz 141,Freiburg,South,79556,401
63,Imelda Plath,Privatkunde,Einfamilienhaus,Energy,EichenGasse 71,Leipzig,East,04884,403
64,Bertha Hentschel B.A.,Privatkunde,Reihenhaus,Energy,SternAllee 61,Essen,West,45378,402
65,Gunther Bärer,Privatkunde,Einfamilienhaus,Energy,MarktGasse 40,Ingolstadt,South,85823,401
66,Prof. Emil Albers B.Sc.,Privatkunde,Reihenhaus,Energy,BahnhofWeg 108,Hamburg,North,20498,400
67,Erdal Börner,Privatkunde,Wohnung,Energy,WiesenRing 98,Berlin,East,10588,403
68,Kabus AG,Kleingewerbe,Gewerbeimmobilie,Energy,RathausRing 140,Hamburg,North,20919,400
69,Ing. Mesut Neureuther B.A.,Privatkunde,Reihenhaus,Energy,HauptPlatz 87,Düsseldorf,West,40784,402
70,Otfried Rudolph-Rust,Privatkunde,Reihenhaus,Energy,MozartRing 137,Dortmund,West,44127,402
71,Dr. Raisa Mühle MBA.,Privatkunde,Einfamilienhaus,Energy,RathausWeg 119,Berlin,East,10286,403
72,Bekir Dietz MBA.,Privatkunde,Einfamilienhaus,Energy,WiesenPlatz 72,Hamburg,North,20870,400
73,Löchel Langern GmbH & Co. KG,Kleingewerbe,Reihenhaus,Energy,BahnhofAllee 58,Berlin,East,10765,403
74,Michail Söding,Privatkunde,Einfamilienhaus,Energy,EichenWeg 6,Braunschweig,North,38736,400
75,Ante Kusch,Privatkunde,Wohnung,Energy,LindenPlatz 66,Hamburg,North,20885,400
76,Kambs,Gewerbekunde,Gewerbeimmobilie,Energy,WiesenWeg 80,Nürnberg,South,90210,401
77,Falko Gröttner,Privatkunde,Mehrfamilienhaus,Energy,MarktPlatz 51,Münster,West,48177,402
78,Juergen Meister B.A.,Privatkunde,Wohnung,Energy,RosenGasse 31,Bochum,West,44915,402
79,Dr. Erna Misicher,Privatkunde,Reihenhaus,Energy,KirchStraße 130,Leipzig,East,04763,403
80,Bruder GmbH & Co. KG,Kleingewerbe,Einfamilienhaus,Energy,SonnenPlatz 40,Regensburg,South,93545,401
81,Andrei Siering,Privatkunde,Wohnung,Energy,BergPlatz 120,Bremen,North,28546,400
82,Zbigniew Davids,Privatkunde,Einfamilienhaus,Energy,GoetheAllee 116,Berlin,East,10349,403
83,Dr. Hansjürgen Neureuther MBA.,Privatkunde,Einfamilienhaus,Energy,ParkAllee 47,Essen,West,45599,402
84,Steven Kühnert B.Sc.,Privatkunde,Wohnung,Energy,SternAllee 143,Rostock,North,18110,400
85,Dipl.-Ing. Abdullah Krebs,Privatkunde,Reihenhaus,Energy,BergWeg 122,Köln,West,50761,402
86,Ursula Ziegert,Privatkunde,Einfamilienhaus,Energy,MarktGasse 63,Dortmund,West,44413,402
87,Eva Löchel MBA.,Privatkunde,Einfamilienhaus,Energy,BlumenRing 85,Dortmund,West,44460,402
88,Donald Hübel-Harloff,Privatkunde,Einfamilienhaus,Energy,LindenAllee 31,Düsseldorf,West,40860,402
89,Klaus Wähner,Privatkunde,Einfamilienhaus,Energy,ParkAllee 135,Wuppertal,West,42711,402
90,Peter-Michael Johann,Privatkunde,Einfamilienhaus,Energy,BeethovenAllee 4,München,South,80825,401
91,Binner KG,Gewerbekunde,Gewerbeimmobilie,Energy,SternWeg 126,Düsseldorf,West,40205,402
92,Prof. Trudi Radisch B.A.,Privatkunde,Reihenhaus,Energy,BeethovenStraße 65,Berlin,East,10982,403
93,Wolf-Dietrich Pechel,Privatkunde,Einfamilienhaus,Energy,SonnenGasse 14,Regensburg,South,93255,401
94,Simon Gotthard,Privatkunde,Mehrfamilienhaus,Energy,SchillerRing 107,Kiel,North,24720,400
95,Scheibe AG,Kleingewerbe,Reihenhaus,Energy,RosenRing 110,Duisburg,West,47412,402
96,Dipl.-Ing. Bruno Roskoth B.A.,Gewerbekunde,Gewerbeimmobilie,Energy,WiesenWeg 55,Köln,West,50370,402
97,Lorenzo Butte,Privatkunde,Einfamilienhaus,Energy,HauptPlatz 116,Köln,West,50805,402
98,Univ.Prof. Lidia Rosemann,Privatkunde,Wohnung,Energy,SternPlatz 19,Düsseldorf,West,40803,402
99,Jopich,Kleingewerbe,Wohnung,Energy,LindenPlatz 30,München,South,80657,401
100,Daniela Staude,Privatkunde,Einfamilienhaus,Energy,BahnhofWeg 79,München,South,80709,401
101,Edith Hettner,Privatkunde,Einfamilienhaus,Energy,SternAllee 104,Essen,West,45378,402
102,Birte Steckel-Seidel,Privatkunde,Einfamilienhaus,Energy,RathausGasse 83,Essen,West,45718,402
103,Mielcarek Jopich e.G.,Gewerbekunde,Gewerbeimmobilie,Energy,TalRing 6,München,South,80883,401
104,Adelbert Mielcarek,Privatkunde,Wohnung,Energy,ParkRing 114,Düsseldorf,West,40384,402
105,Arndt Renner,Privatkunde,Reihenhaus,Energy,GoethePlatz 90,Kiel,North,24518,400
106,Patberg GbR,Kleingewerbe,Reihenhaus,Energy,RosenGasse 103,Augsburg,South,86933,401
107,Vlado Keudel-Bohnbach,Privatkunde,Einfamilienhaus,Energy,SchillerPlatz 132,Köln,West,50944,402
108,Ing. Friedhelm Franke MBA.,Privatkunde,Reihenhaus,Energy,LindenRing 93,Dresden,East,01737,403
109,Tlustek,Kleingewerbe,Einfamilienhaus,Energy,RosenPlatz 125,Duisburg,West,47224,402
110,Schmidtke Söding GmbH & Co. OHG,Kleingewerbe,Mehrfamilienhaus,Energy,HauptRing 105,Lübeck,North,23195,400
111,Meinolf Röhrdanz,Privatkunde,Mehrfamilienhaus,Energy,SonnenWeg 128,Regensburg,South,93833,401
112,Valentina Spieß,Privatkunde,Reihenhaus,Energy,ParkWeg 117,Augsburg,South,86664,401
113,Walter Eimer,Privatkunde,Wohnung,Energy,MozartStraße 71,Hamburg,North,20891,400
114,Drub Döring Stiftung & Co. KGaA,Gewerbekunde,Gewerbeimmobilie,Energy,BrunnenStraße 73,Dortmund,West,44843,402
115,Förster,Gewerbekunde,Gewerbeimmobilie,Energy,MozartPlatz 138,Nürnberg,South,90595,401
116,Esther Schleich,Privatkunde,Reihenhaus,Energy,TannenWeg 62,Nürnberg,South,90685,401
117,Ortwin Karz B.A.,Privatkunde,Einfamilienhaus,Energy,ParkGasse 98,Regensburg,South,93495,401
118,Jolanda Niemeier,Privatkunde,Einfamilienhaus,Energy,BahnhofWeg 129,Potsdam,East,14704,403
119,Birnbaum Davids KGaA,Kleingewerbe,Einfamilienhaus,Energy,HauptGasse 37,München,South,80519,401
120,Ing. Angela Adler,Privatkunde,Wohnung,Energy,BirkenAllee 102,Jena,East,07765,403
121,Patricia Ehlert,Privatkunde,Reihenhaus,Energy,TannenGasse 125,Hamburg,North,20993,400
122,Cathleen Weihmann,Privatkunde,Wohnung,Energy,RosenWeg 24,Duisburg,West,47544,402
123,Kordula Trapp MBA.,Privatkunde,Einfamilienhaus,Energy,BeethovenGasse 77,Leipzig,East,04129,403
124,Bertram Bruder,Privatkunde,Reihenhaus,Energy,MozartWeg 136,Rostock,North,18521,400
125,Jörn Beier-Koch II,Privatkunde,Einfamilienhaus,Energy,MarktRing 62,Wuppertal,West,42609,402
126,Heinz-Dieter Eckbauer-Berger,Privatkunde,Einfamilienhaus,Energy,BirkenGasse 3,Berlin,East,10923,403
127,Gretel Benthin,Privatkunde,Einfamilienhaus,Energy,KirchRing 77,München,South,80754,401
128,Denise Stoll,Privatkunde,Einfamilienhaus,Energy,MarktPlatz 28,Leipzig,East,04342,403
129,Univ.Prof. Bernd-Dieter Klapp MBA.,Privatkunde,Wohnung,Energy,HauptGasse 102,München,South,80381,401
130,Weiß,Kleingewerbe,Gewerbeimmobilie,Energy,BlumenPlatz 74,Oldenburg,North,26894,400
131,Vincenzo Hellwig-Fröhlich,Privatkunde,Wohnung,Energy,SeeAllee 36,Duisburg,West,47743,402
132,Dipl.-Ing. Aleksandr Gieß,Privatkunde,Wohnung,Energy,BahnhofRing 94,Lübeck,North,23849,400
133,Radmila Langern,Privatkunde,Reihenhaus,Energy,LindenWeg 139,Osnabrück,North,49997,400
134,Ing. Daniel Zirme B.Sc.,Kleingewerbe,Gewerbeimmobilie,Energy,BrunnenPlatz 76,Berlin,East,10864,403
135,Steffi Bender-Möchlichen,Privatkunde,Einfamilienhaus,Energy,WiesenWeg 102,Potsdam,East,14966,403
136,Gute GmbH & Co. KG,Kleingewerbe,Einfamilienhaus,Energy,SchulAllee 68,Berlin,East,10698,403
137,Flora Heidrich,Privatkunde,Wohnung,Energy,ParkStraße 144,Nürnberg,South,90435,401
138,Herr Maurizio Gröttner MBA.,Privatkunde,Wohnung,Energy,SternAllee 105,Berlin,East,10219,403
139,Erna Bohnbach,Privatkunde,Reihenhaus,Energy,SchillerWeg 138,Braunschweig,North,38238,400
140,Killer Segebahn GmbH & Co. OHG,Gewerbekunde,Gewerbeimmobilie,Energy,BergPlatz 40,Stuttgart,South,70524,401
141,Mariola Reising-Kabus,Privatkunde,Mehrfamilienhaus,Energy,BirkenStraße 95,Bochum,West,44322,402
142,Drub GbR,Kleingewerbe,Einfamilienhaus,Energy,BergGasse 92,Karlsruhe,South,76162,401
143,Prof. Wolfgang Hettner,Privatkunde,Wohnung,Energy,SchulStraße 55,München,South,80757,401
144,Bert Schenk,Privatkunde,Einfamilienhaus,Energy,MozartRing 53,Aachen,West,52170,402
145,Ing. Monika Zimmer,Privatkunde,Wohnung,Energy,EichenAllee 38,Berlin,East,10907,403
146,Ilonka auch Schlauchin,Kleingewerbe,Einfamilienhaus,Energy,BirkenWeg 29,Berlin,East,10776,403
147,Hans-Josef Rust,Privatkunde,Wohnung,Energy,TalAllee 5,Berlin,East,10278,403
148,Ferdinand Beyer MBA.,Privatkunde,Einfamilienhaus,Energy,GoethePlatz 115,München,South,80896,401
149,Johan Renner,Privatkunde,Einfamilienhaus,Energy,SeeStraße 134,Nürnberg,South,90408,401
150,Hans-Christian Losekann B.Sc.,Privatkunde,Reihenhaus,Energy,MarktPlatz 28,Karlsruhe,South,76602,401
151,Luitgard Johann,Kleingewerbe,Reihenhaus,Energy,MozartAllee 150,Dortmund,West,44661,402
152,Osman Jacob,Privatkunde,Einfamilienhaus,Energy,WaldRing 111,Dortmund,West,44201,402
153,Marica Lange,Privatkunde,Wohnung,Energy,BergGasse 56,Köln,West,50540,402
154,Helen Textor,Privatkunde,Reihenhaus,Energy,RathausGasse 25,München,South,80420,401
155,Kreszentia Eckbauer,Privatkunde,Einfamilienhaus,Energy,ParkStraße 24,Augsburg,South,86951,401
156,Hasso Stadelmann MBA.,Privatkunde,Reihenhaus,Energy,MozartRing 16,Bremen,North,28700,400
157,Prof. Karsten Jacobi Jäckel,Privatkunde,Reihenhaus,Energy,MondPlatz 14,Berlin,East,10394,403
158,Klothilde Ackermann-Jähn,Privatkunde,Einfamilienhaus,Energy,MondPlatz 58,Dortmund,West,44967,402
159,Denise Losekann,Privatkunde,Wohnung,Energy,TalWeg 110,Oldenburg,North,26965,400
160,Irmingard Margraf,Privatkunde,Wohnung,Energy,BergStraße 69,Wuppertal,West,42129,402
161,Marietta Hamann MBA.,Privatkunde,Einfamilienhaus,Energy,HauptWeg 37,Hannover,North,30679,400
162,Univ.Prof. August Hölzenbecher,Privatkunde,Mehrfamilienhaus,Energy,GoetheGasse 136,Köln,West,50320,402
163,Antonie Weitzel,Privatkunde,Einfamilienhaus,Energy,TannenRing 22,Stuttgart,South,70153,401
164,Univ.Prof. Gero Hecker B.A.,Privatkunde,Einfamilienhaus,Energy,SchulGasse 109,Hannover,North,30597,400
165,Aleksandr Bien-Henschel,Privatkunde,Reihenhaus,Energy,KirchPlatz 29,Dortmund,West,44390,402
166,Prof. Sigrid Wilmsen B.Sc.,Privatkunde,Einfamilienhaus,Energy,EichenPlatz 15,Duisburg,West,47107,402
167,Herlinde Schuchhardt B.A.,Kleingewerbe,Mehrfamilienhaus,Energy,SchillerStraße 128,Braunschweig,North,38864,400
168,Jeannine Kuhl-Henk,Privatkunde,Einfamilienhaus,Energy,BergGasse 91,München,South,80173,401
169,Matthias Stroh-Adolph,Privatkunde,Reihenhaus,Energy,GoetheAllee 148,Freiburg,South,79539,401
170,Reinhard Löffler,Privatkunde,Einfamilienhaus,Energy,HauptAllee 44,Bonn,West,53920,402
171,Dr. Roman Textor MBA.,Privatkunde,Reihenhaus,Energy,RathausStraße 63,Berlin,East,10546,403
172,Karl-Heinrich Hering,Privatkunde,Einfamilienhaus,Energy,TannenWeg 86,Essen,West,45897,402
173,Herbert Eimer,Privatkunde,Reihenhaus,Energy,WiesenAllee 90,Bremen,North,28844,400
174,Marie Radisch B.Eng.,Privatkunde,Einfamilienhaus,Energy,BirkenWeg 45,Dresden,East,01716,403
175,Loretta Tschentscher MBA.,Privatkunde,Mehrfamilienhaus,Energy,SonnenPlatz 119,Hannover,North,30872,400
176,Tamara Freudenberger MBA.,Privatkunde,Wohnung,Energy,SonnenGasse 83,Duisburg,West,47984,402
177,Ellen Weitzel B.A.,Privatkunde,Reihenhaus,Energy,SonnenAllee 71,Berlin,East,10705,403
178,Ottilie Wulff,Privatkunde,Reihenhaus,Energy,BahnhofAllee 74,Bremen,North,28178,400
179,Univ.Prof. Edith Höfig MBA.,Privatkunde,Wohnung,Energy,MarktPlatz 149,Aachen,West,52667,402
180,Olaf Hörle,Privatkunde,Mehrfamilienhaus,Energy,TalGasse 49,Leipzig,East,04429,403
181,Heydrich GmbH,Gewerbekunde,Gewerbeimmobilie,Energy,HeideAllee 22,Essen,West,45616,402
182,Sylvia Reuter,Privatkunde,Mehrfamilienhaus,Energy,WaldRing 41,Köln,West,50472,402
183,Christian Flantz,Privatkunde,Einfamilienhaus,Energy,SeeStraße 86,München,South,80167,401
184,Dipl.-Ing. Necati Fliegner B.A.,Privatkunde,Einfamilienhaus,Energy,MondRing 39,Nürnberg,South,90441,401
185,Liebelt GmbH & Co. KG,Kleingewerbe,Reihenhaus,Energy,MondPlatz 34,Lübeck,North,23709,400
186,Kerstin Mohaupt,Privatkunde,Wohnung,Energy,TannenWeg 135,Köln,West,50195,402
187,Frau Danuta Linke,Privatkunde,Reihenhaus,Energy,BeethovenWeg 88,Dortmund,West,44884,402
188,Theda Winkler-Sauer,Privatkunde,Einfamilienhaus,Energy,HeideStraße 130,München,South,80889,401
189,Stanislaw Wieloch,Privatkunde,Wohnung,Energy,WiesenRing 34,Bonn,West,53711,402
190,Kramer,Kleingewerbe,Mehrfamilienhaus,Energy,BeethovenGasse 113,München,South,80144,401
191,Frau Veronique Kitzmann B.Eng.,Privatkunde,Reihenhaus,Energy,RosenGasse 115,Augsburg,South,86339,401
192,Lindner Renner Stiftung & Co. KGaA,Kleingewerbe,Reihenhaus,Energy,KirchGasse 147,Düsseldorf,West,40551,402
193,Dipl.-Ing. Emanuel Heydrich MBA.,Privatkunde,Reihenhaus,Energy,BeethovenWeg 36,München,South,80993,401
194,Frau Hatice Kallert MBA.,Kleingewerbe,Wohnung,Energy,WaldStraße 73,Nürnberg,South,90185,401
195,Gehringer,Kleingewerbe,Einfamilienhaus,Energy,EichenPlatz 90,Düsseldorf,West,40127,402
196,Trudi Eckbauer B.Sc.,Privatkunde,Reihenhaus,Energy,GoetheAllee 58,Stuttgart,South,70128,401
197,Lilian Rose-Spieß,Privatkunde,Einfamilienhaus,Energy,MozartWeg 10,München,South,80393,401
198,Carsten KGaA,Kleingewerbe,Mehrfamilienhaus,Energy,SeeStraße 21,Berlin,East,10119,403
199,Dr. Sonja Misicher,Privatkunde,Wohnung,Energy,WaldPlatz 29,Regensburg,South,93894,401
200,Herr Folkert Kramer,Privatkunde,Reihenhaus,Energy,HeideRing 118,München,South,80164,401
201,Desiree Metz,Privatkunde,Einfamilienhaus,Energy,WaldRing 62,Osnabrück,North,49835,400
202,Gerlinde Wesack,Privatkunde,Einfamilienhaus,Energy,RathausWeg 22,Bremen,North,28636,400
203,Erika Weller-Linke,Privatkunde,Reihenhaus,Energy,WaldRing 6,Berlin,East,10499,403
204,Saskia Butte,Privatkunde,Reihenhaus,Energy,BlumenStraße 92,Berlin,East,10907,403
205,Frau Nermin Reuter B.Sc.,Privatkunde,Einfamilienhaus,Energy,TalGasse 86,Hamburg,North,20236,400
206,Hauffer Seip AG,Kleingewerbe,Einfamilienhaus,Energy,SchulGasse 123,Bremen,North,28746,400
207,Pietro Becker,Privatkunde,Mehrfamilienhaus,Energy,BahnhofAllee 52,Hamburg,North,20144,400
208,Dr. Siegfried Bärer B.A.,Privatkunde,Einfamilienhaus,Energy,MarktRing 122,Bochum,West,44359,402
209,Dr. Hugo Staude B.Sc.,Privatkunde,Wohnung,Energy,BahnhofGasse 85,Lübeck,North,23379,400
210,Harloff,Kleingewerbe,Mehrfamilienhaus,Energy,MarktAllee 48,Hamburg,North,20608,400
211,Mechthild Hertrampf B.Eng.,Kleingewerbe,Einfamilienhaus,Energy,RathausStraße 111,Dortmund,West,44716,402
212,Prof. Laurenz Weinhold,Privatkunde,Einfamilienhaus,Energy,TannenGasse 76,Berlin,East,10413,403
213,Reiner Fröhlich,Privatkunde,Reihenhaus,Energy,SchulStraße 91,Augsburg,South,86729,401
214,Dörr Sager AG,Gewerbekunde,Gewerbeimmobilie,Energy,GoetheGasse 104,Berlin,East,10472,403
215,Leni Stey,Privatkunde,Einfamilienhaus,Energy,SeeGasse 113,Wuppertal,West,42135,402
216,Heidelore Trubin-Gumprich,Privatkunde,Reihenhaus,Energy,TalStraße 40,Hamburg,North,20795,400
217,Knut Stumpf,Privatkunde,Einfamilienhaus,Energy,MozartRing 94,Stuttgart,South,70507,401
218,Herr Nicolai Wirth B.Eng.,Gewerbekunde,Gewerbeimmobilie,Energy,BeethovenPlatz 133,München,South,80496,401
219,Rocco Rosemann,Kleingewerbe,Mehrfamilienhaus,Energy,SeeAllee 126,Berlin,East,10304,403
220,Hakan Reichmann,Privatkunde,Wohnung,Energy,SchulStraße 82,Oldenburg,North,26783,400
221,Univ.Prof. Gundel Bohnbach,Privatkunde,Wohnung,Energy,BeethovenGasse 45,München,South,80912,401
222,Seifert,Gewerbekunde,Gewerbeimmobilie,Energy,EichenPlatz 7,München,South,80469,401
223,Aumann Linke GmbH & Co. KGaA,Kleingewerbe,Wohnung,Energy,GoetheStraße 80,Dortmund,West,44507,402
224,Heinz-Günter Klotz,Privatkunde,Wohnung,Energy,BrunnenRing 19,Leipzig,East,04228,403
225,Meral Fliegner MBA.,Privatkunde,Wohnung,Energy,KirchWeg 142,Dresden,East,01755,403
226,Univ.Prof. Johannes Siering,Privatkunde,Reihenhaus,Energy,BahnhofStraße 133,Wuppertal,West,42256,402
227,Louise Renner,Gewerbekunde,Gewerbeimmobilie,Energy,WaldAllee 21,München,South,80356,401
228,Dipl.-Ing. Ilonka Wagenknecht B.Eng.,Privatkunde,Wohnung,Energy,SeeRing 24,Braunschweig,North,38614,400
229,Silja Henschel,Privatkunde,Einfamilienhaus,Energy,SeeGasse 87,Duisburg,West,47962,402
230,Holsten GmbH & Co. KG,Kleingewerbe,Einfamilienhaus,Energy,WiesenRing 68,Berlin,East,10766,403
231,Dipl.-Ing. Kasimir Schmidt MBA.,Privatkunde,Einfamilienhaus,Energy,SonnenRing 75,Kiel,North,24757,400
232,Alma Oderwald,Kleingewerbe,Wohnung,Energy,GoetheGasse 16,Berlin,East,10261,403
233,Clarissa Neuschäfer,Privatkunde,Wohnung,Energy,TannenGasse 82,Stuttgart,South,70851,401
234,Hans Dieter Heser B.Eng.,Privatkunde,Wohnung,Energy,WaldRing 28,Berlin,East,10426,403
235,Susanne Schenk,Privatkunde,Einfamilienhaus,Energy,BahnhofAllee 99,München,South,80984,401
236,Hofmann,Kleingewerbe,Einfamilienhaus,Energy,TalGasse 81,Düsseldorf,West,40294,402
237,Jochem Grein Groth,Privatkunde,Reihenhaus,Energy,RosenPlatz 6,Essen,West,45192,402
238,Erol Tschentscher,Gewerbekunde,Gewerbeimmobilie,Energy,KirchStraße 13,Berlin,East,10388,403
239,Dipl.-Ing. Kreszenz Werner,Privatkunde,Reihenhaus,Energy,BergStraße 28,Würzburg,South,97541,401
240,Univ.Prof. Ibrahim Seidel MBA.,Privatkunde,Reihenhaus,Energy,BahnhofPlatz 14,Hamburg,North,20683,400
241,Reingard Bachmann B.Sc.,Privatkunde,Reihenhaus,Energy,SchulRing 72,Dortmund,West,44945,402
242,Dorina Lachmann,Privatkunde,Mehrfamilienhaus,Energy,MarktAllee 87,Dresden,East,01671,403
243,Ing. Mehdi Salz B.Eng.,Privatkunde,Reihenhaus,Energy,WaldStraße 12,Leipzig,East,04139,403
244,Prof. Katerina Kaul MBA.,Privatkunde,Reihenhaus,Energy,SeeRing 36,Hamburg,North,20435,400
